Designator,Footprint,Value,Manufacturer,Quantity,JLCPCB Part #,Datasheet
C1,CAP_0402,4.7uF 6.3V,,1,C23733,
C2,CAP_0402,4.7uF 6.3V,,1,C23733,
C3,CAP_0402,4.7uF 6.3V,,1,C23733,
C4,CAP_0402,4.7uF 6.3V,,1,C23733,
C5,CAP_0402,0.1uF 6.3V,,1,C1525,
C6,CAP_0402,0.1uF 6.3V,,1,C1525,
C7,CAP_0402,4.7uF 6.3V,,1,C23733,
C8,CAP_0402,0.1uF 6.3V,,1,C1525,
C9,CAP_0402,0.1uF 6.3V,,1,C1525,
C10,CAP_0402,4.7uF 6.3V,,1,C23733,
C11,CAP_0402,4.7uF 6.3V,,1,C23733,
C12,Tantalum 7343,47uF 10V,,1,C503930,
D1,XZBWR68F5MAV-3,WIFI_LED_WHITE_0402,SunLED,1,C157742,https://www.sunledusa.com/products/spec/XZBWR68F5MAV-3.pdf
D2,LB QH9G-N1OO-35-1,BT_LED_BLUE_0402,OSRAM,1,C364550,https://dammedia.osram.info/media/resource/hires/osram-dam-2494390/LB%20QH9G.pdf
D3,SML-P12DTT86R,SIO_LED_ORANGE_0402,Rohm,1,C364554,https://d1d2qsbl8m0m72.cloudfront.net/en/products/databook/datasheet/opto/led/chip_mono/sml-p1-e.pdf
D4,ESD5Z5.0T1G,,ON Semiconductor,1,C2879719,https://www.onsemi.com/pub/Collateral/ESD5Z2.5T1-D.PDF
D5,ESD5Z5.0T1G,,ON Semiconductor,1,C2879719,https://www.onsemi.com/pub/Collateral/ESD5Z2.5T1-D.PDF
D6,ESD5Z5.0T1G,,ON Semiconductor,1,C2879719,https://www.onsemi.com/pub/Collateral/ESD5Z2.5T1-D.PDF
D7,,"PMEG2010ER,115",Nexperia,1,C82288,https://assets.nexperia.com/documents/data-sheet/PMEG2010ER.pdf
D8,,"PMEG2010ER,115",Nexperia,1,C82288,https://assets.nexperia.com/documents/data-sheet/PMEG2010ER.pdf
J1,SIO Plug,7-745288-2,,1,,
J2,USB-C 16P,U06-CF2C5R-009,Bestcreate Technology Limited,1,C5178539,https://www.bsc-elec.com/Uploads/pro/USB-C-Female-Connector.9.2.pdf
J3,SIO Receptacle Large,AT60-202-2031,,1,,
Q1,UMH3NTN,SOT-363,Rohm Semiconductor,1,C123008 ,https://d1d2qsbl8m0m72.cloudfront.net/en/products/databook/datasheet/discrete/transistor/digital/emh3fha-e.pdf
Q2,DMP2035U PChan,DMP2035U-7,Diodes Inc,1,C110499,http://www.mouser.com/ds/2/115/DMP2035U-464735.pdf
Q3,DMG2302U NChan,DMG2302U,Diodes Inc,1,C96613,
R1,RES_0402,10k,,1,C25744,
R2,RES_0402,10K,,1,C25744,
R3,RES_0402,10k,,1,C25744,
R4,RES_0402,1.2k,,1,C25862,
R5,RES_0402,10K,,1,C25744,
R6,RES_0402,10K,,1,C25744,
R7,RES_0402,2k,,1,C413086,
R8,RES_0402,10K,,1,C25744,
R9,RES_0402,47.5K,,1,C25896,
R10,RES_0402,1k,,1,C11702,
R11,RES_0402,22.1K,,1,C163478,
R12,RES_0402,10k,,1,C25744,
R13,RES_0402,1k,,1,C11702,
R14,RES_0402,1k,,1,C11702,
R15,RES_0402,1.2k,,1,C25862,
R16,RES_0402,4.7K,,1,C413001,
R17,RES_0402,10K,,1,C25744,
R18,RES_0402,10K,,1,C25744,
R19,RES_0402,10K,,1,C25744,
R20,RES_0402,10K,,1,C25744,
R21,RES_0402,1k,,1,C11702,
R22,RES_0603,10k,,1,C25744,
R23,RES_0402,10K,,1,C25744,
R24,RES_0402,2K,,1,C413086,
R25,RES_0402,5.1K,,1,C25905,
R26,RES_0402,5.1K,,1,C25905,
R27,RES_0402,10K,,1,C25744,
R28,RES_0402,10K,,1,C25744,
R29,RES_0805,NOSTUFF,,1,,
S1,SKHHLQA010,ButtonB,Alps,1,C125034,https://tech.alpsalpine.com/prod/e/pdf/tact/snapin/skhh/skhh.pdf
S2,SKHHLQA010,Safe Reset,Alps,1,C125034,https://tech.alpsalpine.com/prod/e/pdf/tact/snapin/skhh/skhh.pdf
S4,SKHHLQA010,ButtonA,Alps,1,C125034,https://tech.alpsalpine.com/prod/e/pdf/tact/snapin/skhh/skhh.pdf
S5,EG1213,EG1213,E-Switch,1,C273393,https://www.mouser.com/datasheet/2/140/ESCH_S_A0005350660_1-2548076.pdf
SD1,DM3D-SF,,Hirose,1,C719027,http://datasheets.diptrace.com/con_memory_cards/e60900232.pdf
U1,ESP32-WROVER-E,ESP32-WROVER-E-N16R8,Espressif,1,C529589,
U2,CP2102N-A02-GQFN24R,CP2102N-A02-GQFN24R,Silicon Labs,1,C969151,https://www.silabs.com/documents/public/data-sheets/cp2102n-datasheet.pdf
U3,SN74LS07DR,SN74LS07DR,Texas Instruments,1,C371970,https://www.ti.com/lit/ds/sdls021d/sdls021d.pdf?ts=1602551255005
U4,SN74LS07DR,SN74LS07DR,Texas Instruments,1,C371970,https://www.ti.com/lit/ds/sdls021d/sdls021d.pdf?ts=1602551255005
U5,XC6210,XC6220B331MR,Torex,1,C3040644,https://media.digikey.com/pdf/Data%20Sheets/Torex/XC6220.pdf
