Designator,Name,Footprint,Mid X,Mid Y,Layer,Rotation,Value,
C1,CAP_0402,CAP_0402,15.557,5.095,Bottom,270,4.7uF 6.3V,
C2,CAP_0402,CAP_0402,-16.192,-1.731,Bottom,270,4.7uF 6.3V,
C3,CAP_0402,CAP_0402,17.768,-8.174,Bottom,315,4.7uF 6.3V,
C4,CAP_0402,CAP_0402,-9.558,-11.3,Bottom,270,4.7uF 6.3V,
C5,CAP_0402,CAP_0402,-10.723,-11.284,Bottom,270,0.1uF 6.3V,
C6,CAP_0402,CAP_0402,2.639,-21.403,Bottom,90,0.1uF 6.3V,
C7,CAP_0402,CAP_0402,-12.673,-14.538,Bottom,180,4.7uF 6.3V,
C8,CAP_0402,CAP_0402,-12.695,-15.608,Bottom,180,0.1uF 6.3V,
C9,CAP_0402,CAP_0402,13.265,-21.215,Bottom,90,0.1uF 6.3V,
C10,CAP_0402,CAP_0402,-19.05,-25.052,Bottom,90,4.7uF 6.3V,
C11,CAP_0402,CAP_0402,-16.207,-25.99,Bottom,0,4.7uF 6.3V,
C12,Tantalum 7343,Tantalum 7343,-22.451,-32.988,Bottom,60,47uF 10V,
D1,XZBWR68F5MAV-3,DIO_0402,-21.273,6.692,Top,90,WIFI_LED_WHITE_0402,
D2,LB QH9G-N1OO-35-1,DIO_0402,-10.954,6.692,Top,90,BT_LED_BLUE_0402,
D3,SML-P12DTT86R,DIO_0402,22.543,6.692,Top,90,SIO_LED_ORANGE_0402,
D4,ESD5Z5.0T1G,SOD-523,-18.574,-8.674,Bottom,270,,
D5,ESD5Z5.0T1G,SOD-523,-18.574,-12.758,Bottom,90,,
D6,ESD5Z5.0T1G,SOD-523,-21.25,-18.247,Bottom,90,,
D7,,SOD-123F,-17.55,-17.559,Bottom,180,PMEG2010ER,115
D8,,SOD-123F,-17.55,-19.94,Bottom,180,PMEG2010ER,115
J1,SIO Plug,SIO Plug ThruHole,0.049,-46.477,Top,0,7-745288-2,
J2,USB-C 16P,USB-C 16P,-25.604,-10.844,Bottom,270,U06-CF2C5R-009,
J3,SIO Receptacle Large,SIO Receptacle Lrg ThruHole,-0.0907,-39.867,Bottom,0,AT60-202-2031,
Q1,UMH3NTN,SOT363,-14.354,-1.031,Bottom,90,SOT-363,
Q2,DMP2035U PChan,SOT23,-9.35,-20.968,Bottom,180,DMP2035U-7,
Q3,DMG2302U NChan,SOT23,-11.288,-24.662,Bottom,0,DMG2302U,
R1,RES_0402,RES_0402,-7.768,2.464,Bottom,180,10k,
R2,RES_0402,RES_0402,15.569,2.446,Bottom,270,10K,
R3,RES_0402,RES_0402,16.396,10.202,Bottom,270,10k,
R4,RES_0402,RES_0402,15.557,-3.16,Bottom,90,1.2k,
R5,RES_0402,RES_0402,-14.27,-4.341,Bottom,0,10K,
R6,RES_0402,RES_0402,-12.383,-1.731,Bottom,270,10K,
R7,RES_0402,RES_0402,16.669,-3.151,Bottom,90,2k,
R8,RES_0402,RES_0402,15.908,-6.337,Bottom,315,10K,
R9,RES_0402,RES_0402,-18.307,-14.534,Bottom,0,47.5K,
R10,RES_0402,RES_0402,-11.129,-13.281,Bottom,180,1k,
R11,RES_0402,RES_0402,-18.307,-15.574,Bottom,0,22.1K,
R12,RES_0402,RES_0402,15.557,-0.159,Bottom,270,10k,
R13,RES_0402,RES_0402,-18.082,4.445,Bottom,180,1k,
R14,RES_0402,RES_0402,-14.114,4.445,Bottom,180,1k,
R15,RES_0402,RES_0402,18.89,3.96,Bottom,45,1.2k,
R16,RES_0402,RES_0402,2.638,-25.088,Bottom,270,4.7K,
R17,RES_0402,RES_0402,-7.476,-3.175,Bottom,0,10K,
R18,RES_0402,RES_0402,21.114,-10.939,Bottom,270,10K,
R19,RES_0402,RES_0402,-7.476,-5.556,Bottom,0,10K,
R20,RES_0402,RES_0402,-11.906,-20.736,Bottom,270,10K,
R21,RES_0402,RES_0402,-8.731,-24.864,Bottom,270,1k,
R22,RES_0603,RES_0402,-20.479,-24.1,Bottom,90,10k,
R23,RES_0402,RES_0402,18.113,-11.906,Bottom,180,10K,
R24,RES_0402,RES_0402,-0.0289,-50.328,Bottom,180,2K,
R25,RES_0402,RES_0402,-18.589,-5.398,Bottom,0,5.1K,
R26,RES_0402,RES_0402,-18.589,-4.286,Bottom,0,5.1K,
R27,RES_0402,RES_0402,23.462,-13.312,Bottom,0,10K,
R28,RES_0402,RES_0402,21.221,-27.51,Bottom,0,10K,
R29,RES_0805,RES_0805,23.741,-8.034,Bottom,180,NOSTUFF,
S1,SKHHLQA010,SKHHLQA010,-11.561,12.402,Bottom,180,ButtonB,
S2,SKHHLQA010,SKHHLQA010,21.935,12.417,Bottom,180,Safe Reset,
S4,SKHHLQA010,SKHHLQA010,-21.88,12.403,Bottom,180,ButtonA,
S5,EG1213,EG1213,-27.017,-22.545,Bottom,90,EG1213,
SD1,DM3D-SF,DM3D,20.524,-20.716,Bottom,90,,
U1,ESP32-WROVER-8MB-PSRAM-16MB-FLASH,ESP32-WROVER-PAD,4.183,-2.452,Bottom,0,M213DH2864PH3Q0,
U2,CP2102N-QFN24,QFN-24/4x4x0.5,-15.023,-10.906,Bottom,0,,
U3,SN74LS07DR,SOIC-14/150mil,-2.699,-23.494,Bottom,270,SN74LS07DR,
U4,SN74LS07DR,SOIC-14/150mil,8.096,-23.494,Bottom,270,SN74LS07DR,
U5,XC6210,SOT23-5,-16.305,-23.617,Bottom,0,XC6220B331MR,
