RefDes,Name,Pattern,X (mm),Y (mm),Side,Rotate,Value
C1,CAP_0402,CAP_0402,42.862,57.482,Bottom,270,4.7uF 6.3V
C2,CAP_0402,CAP_0402,11.113,50.656,Bottom,270,4.7uF 6.3V
C3,CAP_0402,CAP_0402,45.073,44.213,Bottom,315,4.7uF 6.3V
C4,CAP_0402,CAP_0402,17.747,41.088,Bottom,270,4.7uF 6.3V
C5,CAP_0402,CAP_0402,16.582,41.104,Bottom,270,0.1uF 6.3V
C6,CAP_0402,CAP_0402,29.944,30.985,Bottom,90,0.1uF 6.3V
C7,CAP_0402,CAP_0402,14.632,37.85,Bottom,180,4.7uF 6.3V
C8,CAP_0402,CAP_0402,14.61,36.78,Bottom,180,0.1uF 6.3V
C9,CAP_0402,CAP_0402,40.57,31.173,Bottom,90,0.1uF 6.3V
C10,CAP_0402,CAP_0402,8.255,27.335,Bottom,90,4.7uF 6.3V
C11,CAP_0402,CAP_0402,11.097,26.397,Bottom,0,4.7uF 6.3V
C12,Tantalum 7343,Tantalum 7343,4.616,19.021,Bottom,60,470uF 6.3V
D1,XZBWR68F5MAV-3,DIO_0402,6.032,59.229,Top,90,WIFI_LED_WHITE_0402
D2,LB QH9G-N1OO-35-1,DIO_0402,16.351,59.229,Top,90,BT_LED_BLUE_0402
D3,SML-P12DTT86R,DIO_0402,49.847,59.229,Top,90,SIO_LED_ORANGE_0402
D4,ESD5Z5.0T1G,SOD-523,8.731,43.889,Bottom,270,
D5,ESD5Z5.0T1G,SOD-523,8.731,39.455,Bottom,90,
D6,ESD5Z5.0T1G,SOD-523,6.055,33.965,Bottom,90,
D7,,SOD-123F,9.43,34.829,Bottom,180,PMEG2010ER
D8,,SOD-123F,9.43,32.448,Bottom,180,PMEG2010ER
J1,SIO Plug,SIO Plug ThruHole,27.305,5.874,Top,0,7-745288-2
J2,USB-C 16P,USB-C 16P,6.132,41.417,Bottom,270,
J3,SIO Receptacle Large,SIO Receptacle Lrg ThruHole,27.305,16.827,Bottom,0,AT60-202-2031
Q1,EMH3FHAT2R,SOT563,13.2,50.651,Bottom,180,EMH3FHAT2R
Q2,DMP2035U PChan,SOT23,17.977,31.634,Bottom,180,DMP2035U-7
Q3,DMG2302U NChan,SOT23,15.995,27.511,Bottom,0,DMG2302U
R1,RES_0402,RES_0402,19.537,54.851,Bottom,180,10k
R2,RES_0402,RES_0402,42.874,54.833,Bottom,270,10K
R3,RES_0402,RES_0402,43.701,62.589,Bottom,270,10k
R4,RES_0402,RES_0402,42.862,49.227,Bottom,90,1.2k
R5,RES_0402,RES_0402,13.035,48.046,Bottom,0,10K
R6,RES_0402,RES_0402,14.922,50.656,Bottom,270,10K
R7,RES_0402,RES_0402,43.974,49.237,Bottom,90,2k
R8,RES_0402,RES_0402,43.213,46.051,Bottom,315,10K
R9,RES_0402,RES_0402,8.998,37.853,Bottom,0,47.5K
R10,RES_0402,RES_0402,16.176,39.106,Bottom,180,1k
R11,RES_0402,RES_0402,8.998,36.814,Bottom,0,22.1K
R12,RES_0402,RES_0402,42.862,52.229,Bottom,270,10k
R13,RES_0402,RES_0402,9.222,56.833,Bottom,180,1k
R14,RES_0402,RES_0402,13.191,56.833,Bottom,180,1k
R15,RES_0402,RES_0402,46.195,56.348,Bottom,45,1.2k
R16,RES_0402,RES_0402,29.943,27.299,Bottom,270,4.7K
R17,RES_0402,RES_0402,19.829,49.212,Bottom,0,10K
R18,RES_0402,RES_0402,48.419,41.449,Bottom,270,10K
R19,RES_0402,RES_0402,19.829,46.831,Bottom,0,10K
R20,RES_0402,RES_0402,15.399,31.651,Bottom,270,10K
R21,RES_0402,RES_0402,18.574,27.524,Bottom,270,1k
R22,RES_0603,RES_0402,6.826,28.287,Bottom,90,10k
R23,RES_0402,RES_0402,45.417,40.481,Bottom,180,10K
R24,RES_0402,RES_0402,27.276,2.06,Bottom,180,2K
R25,RES_0402,RES_0402,8.716,46.99,Bottom,0,5.1K
R26,RES_0402,RES_0402,8.716,48.101,Bottom,0,5.1K
R27,RES_0402,RES_0402,50.767,39.076,Bottom,0,10K
R28,RES_0402,RES_0402,48.526,24.878,Bottom,0,10K
R29,RES_0805,RES_0805,51.046,44.354,Bottom,180,NOSTUFF
S1,SKHHLQA010,SKHHLQA010,15.744,61.456,Bottom,180,ButtonB
S2,SKHHLQA010,SKHHLQA010,49.24,61.47,Bottom,180,Safe Reset
S4,SKHHLQA010,SKHHLQA010,5.425,61.456,Bottom,180,ButtonA
S5,EG1213,EG1213,2.427,29.843,Bottom,90,EG1213
SD1,DM3D-SF,DM3D,47.829,31.672,Bottom,90,
U1,ESP32-WROVER-8MB-PSRAM-16MB-FLASH,ESP32-WROVER-PAD,31.488,46.766,Bottom,0,M213DH2864PH3Q0
U2,CP2102N-QFN24,QFN-24/4x4x0.5,11.994,41.481,Bottom,0,
U3,SN74LS07DR,SOIC-14/150mil,24.606,28.894,Bottom,270,SN74LS07DR
U4,SN74LS07DR,SOIC-14/150mil,35.401,28.894,Bottom,270,SN74LS07DR
U5,XC6210,SOT23-5,11.034,28.935,Bottom,0,XC6220B331MR
