Designator,Footprint,Value,Manufacturer,Quantity,JLCPCB Part #,Datasheet
C1,CAP_0402,10uF 6.3V,,1,C15525,
C2,CAP_0402,4.7uF 6.3V,,1,C23733,
C3,CAP_0402,4.7uF 6.3V,,1,C23733,
C4,CAP_0402,0.1uF 6.3V,,1,C1525,
C5,CAP_0402,4.7uF 6.3V,,1,C23733,
C6,CAP_0402,0.1uF 6.3V,,1,C1525,
C7,CAP_0402,0.1uF 6.3V,,1,C1525,
C8,CAP_0402,4.7uF 6.3V,,1,C23733,
C9,CAP_0402,10uF 6.3V,,1,C15525,
C10,CAP_0402,10uF 6.3V,,1,C15525,
C11,TANT_2917,47uF 16V,,1,C1954708,
D1,XZBWR68F5MAV-3,WIFI_LED_WHITE_0402,SunLED,1,C157742,https://www.sunledusa.com/products/spec/XZBWR68F5MAV-3.pdf
D2,SML-P12DTT86R,BUS_LED_ORANGE_0402,Rohm,1,C364554,https://d1d2qsbl8m0m72.cloudfront.net/en/products/databook/datasheet/opto/led/chip_mono/sml-p1-e.pdf
D3,ESD5Z5.0T1G,ESD5Z5.0T1G,ON Semiconductor,1,C2879719,https://www.onsemi.com/pub/Collateral/ESD5Z2.5T1-D.PDF
D4,ESD5Z5.0T1G,ESD5Z5.0T1G,ON Semiconductor,1,C2879719,https://www.onsemi.com/pub/Collateral/ESD5Z2.5T1-D.PDF
D5,,"PMEG2010ER,115",Nexperia,1,C82288,https://assets.nexperia.com/documents/data-sheet/PMEG2010ER.pdf
D6,,"PMEG2010ER,115",Nexperia,1,C82288,https://assets.nexperia.com/documents/data-sheet/PMEG2010ER.pdf
J1,IDC2X10M,,,1,C4749199,
J2,USB-C 16P,U06-CF2C5R-009,Bestcreate Technology Limited,1,C5178539,https://www.bsc-elec.com/Uploads/pro/USB-C-Female-Connector.9.2.pdf
Q1,SOT-363,UMH3NTN,Rohm Semiconductor,1,C123008 ,https://d1d2qsbl8m0m72.cloudfront.net/en/products/databook/datasheet/discrete/transistor/digital/emh3fha-e.pdf
R1,RES_0402,10K,,1,C25744,
R2,RES_0402,10K,,1,C25744,
R3,RES_0402,10K,,1,C25744,
R4,RES_0402,1k,,1,C11702,
R5,RES_0402,1.2k,,1,C25862,
R6,RES_0402,47.5K,,1,C25896,
R7,RES_0402,1k,,1,C11702,
R8,RES_0402,22.1K,,1,C163478,
R9,RES_0402,10K,,1,C25744,
R10,RES_0402,10k,,1,C25744,
R11,RES_0402,10k,,1,C25744,
R12,RES_0402,10k,,1,C25744,
R13,RES_0402,10k,,1,C25744,
R14,RES_0402,10k,,1,C25744,
R15,RES_0402,5.1K,,1,C25905,
R16,RES_0402,5.1K,,1,C25905,
R17,RES_0402,1K,,1,C11702,
R18,RES_0402,1K,,1,C11702,
R19,RES_0402,10k,,1,C25744,
R20,RES_0402,270,,1,C25099,
R21,RES_0402,1K,,1,C11702,
R22,RES_0402,10K,,1,C25744,
S1,SKHHLQA010,Safe Reset,Alps,1,C125034,https://tech.alpsalpine.com/prod/e/pdf/tact/snapin/skhh/skhh.pdf
S2,SKHHLQA010,ButtonA,Alps,1,C125034,https://tech.alpsalpine.com/prod/e/pdf/tact/snapin/skhh/skhh.pdf
SD1,TF-012-P9,MicroSD,,1,C5333937,
U1,ESP32-WROVER,ESP32-WROVER-E-N16R8,,1,C529589,
U2,CP2102N-A02-GQFN24R,CP2102N-A02-GQFN24R,Silicon Labs,1,C969151,https://www.silabs.com/documents/public/data-sheets/cp2102n-datasheet.pdf
U3,,LSF0204RGY,Texas Instruments,1,C140297,https://www.ti.com/lit/ds/symlink/lsf0204d.pdf
U4,,LSF0204RGY,Texas Instruments,1,C140297,https://www.ti.com/lit/ds/symlink/lsf0204d.pdf
U5,,LSF0204RGY,Texas Instruments,1,C140297,https://www.ti.com/lit/ds/symlink/lsf0204d.pdf
U6,XC6210,XC6220B331MR,Torex,1,C3040644,https://media.digikey.com/pdf/Data%20Sheets/Torex/XC6220.pdf
VO1,SFH690,,Vishay,1,C3008847,http://datasheets.diptrace.com/optoisolators/sfh690ab.pdf
