RefDes,Name,Value,Manufacturer,Quantity,Datasheet
C1,CAP100RP,470uF 10V,,1,
C2,CAP100,4.7uF,,1,
C3,CAP100,0.1uF,,1,
D1,1N5817,1N5817-TP,,1,https://www.mccsemi.com/pdf/Products/1N5817-1N5819(DO-41).pdf
D2,5MM LED,WIFI_LED_WHITE,,1,
D3,5MM LED,BUS_LED_ORANGE,,1,
J1,IDC2X10M,,,1,
J2,HDR-1x2,DRIVE2,,1,
J3,HDR-1x2,DAC OUT,,1,
J4,90131-0128,Debug Port,Molex,1,http://datasheets.diptrace.com/con_headers/901310126_sd.pdf
R1,RES400,10k,,1,
R2,RES400,10k,,1,
R3,RES400,10k,,1,
R4,RES400,10k,,1,
R5,RES400,10k,,1,
R6,RES400,10k,,1,
R7,RES400,1.2k,,1,
R8,RES400,1k,,1,
R9,RES400,1k,,1,
R10,RES400,10k,,1,
R11,RES400,2k,,1,
S1,TS02-66-60-BK-100-LCR-D,ButtonA,,1,
S2,TS02-66-60-BK-100-LCR-D,Safe Reset,,1,
SD1,TF-01 MicroSD,,,1,
U1,ESP32-DEVKITC-VE,,Espressif,1,
U2,SN74AHCT1G125,,TI,1,https://www.ti.com/lit/ds/symlink/sn74ahct1g125.pdf
