RefDes,Value,Name,Manufacturer,Datasheet,Number of Pins
C1,470uF 16V,Capacitor 2.5-3.5mm Lead Spacing,,,2
D1,WIFI_LED_WHITE,5MM LED,,,2
D2,BT_LED_BLUE,5MM LED,,,2
D3,BUS_LED_ORANGE,5MM LED,,,2
D4,1N5817-TP,1N5817,,https://www.mccsemi.com/pdf/Products/1N5817-1N5819(DO-41).pdf,2
D5,1N5817-TP,1N5817,,https://www.mccsemi.com/pdf/Products/1N5817-1N5819(DO-41).pdf,2
J1,ADAMNET DEBUG,644456-5,TE Connectivity,http://datasheets.diptrace.com/con_headers/ENG_CD_644456_D2.pdf,5
J2,ADAMNET_IN,"E5566-Q0LK22-L, RJ12 6P6C Right Angle",,https://productfinder.pulseeng.com/doc_type/WEB301/doc_num/CE553027-LC/doc_part/CE553027-LC.pdf,6
J3,ADAMNET_OUT,"E5566-Q0LK22-L, RJ12 6P6C Right Angle",,https://productfinder.pulseeng.com/doc_type/WEB301/doc_num/CE553027-LC/doc_part/CE553027-LC.pdf,6
J4,TF-01,TF-01 MicroSD Push Push TransFlash,,,10
Q1,2N3906,2N3906,,,3
Q2,2N3904,2N3904,,,3
R1,1.2k,RES400,,,2
R2,1k,RES400,,,2
R3,2k,RES400,,,2
R4,1k,RES400,,,2
R5,10k,RES400,,,2
R6,1k,RES400,,,2
R7,2K,RES400,,,2
R8,1k,RES400,,,2
R9,33ohm,RES400,,,2
R10,10K Array,4609X-101-103LF,,https://www.mouser.com/datasheet/2/414/TTRB_S_A0011800142_1-2565569.pdf,9
R11,10k,RES400,,,2
R12,4.7k,RES400,,,2
R13,4.7k,RES400,,,2
S1,EG1213,EG1213,E-Switch,https://www.mouser.com/datasheet/2/140/ESCH_S_A0005350660_1-2548076.pdf,3
S2,ButtonA,"TS02-66-60-BK-100-LCR-D, 6mm x 6mm x 6mm Tactile Switch",,,4
S3,ButtonB,"TS02-66-60-BK-100-LCR-D, 6mm x 6mm x 6mm Tactile Switch",,,4
S4,Safe Reset,"TS02-66-60-BK-100-LCR-D, 6mm x 6mm x 6mm Tactile Switch",,,4
U1,ESP32-DEVKITC-VE,"19 Pin, 2.54mm pin spacing, 8.5mm plastic height height headers x 2",,,38
,,,,,
,,,,,
,,,,,131
