RefDes,Value,Name,Part,Manufacturer,Quantity,Datasheet,Alternate Part #
C1,0.1uF,CAP_0402,Part 1,,1,,
C2,0.1uF,CAP_0402,Part 1,,1,,
C3,0.1uF,CAP_0402,Part 1,,1,,
C4,0.1uF,CAP_0402,Part 1,,1,,
C5,0.1uF,CAP_0402,Part 1,,1,,
D1,WIFI_LED_WHITE,5MM LED,Part 1,,1,,
D2,BUS_LED_ORANGE,5MM LED,Part 1,,1,,
J1,,DB9F-RA,Part 1,,1,,
R1,10k,RES400,Part 1,,1,,
R2,1k,RES400,Part 1,,1,,
R3,10k,RES400,Part 1,,1,,
R4,10k,RES400,Part 1,,1,,
R5,1k,RES400,Part 1,,1,,
R6,10k,RES400,Part 1,,1,,
R7,10k,RES400,Part 1,,1,,
R8,10k,RES400,Part 1,,1,,
R9,10K,RES_0402,Part 1,,1,,
R10,10k,RES_0402,Part 1,,1,,
R11,NOSTUFF,RES_0402,Part 1,,1,,
R12,10k,RES_0402,Part 1,,1,,
S1,Safe Reset,TS02-66-60-BK-100-LCR-D,Part 1,,1,,
SD1,,TF-01 MicroSD,Part 1,,1,,
TP1,,TESTPOINT SMD 1.25mm,Part 1,,1,,
U1,,ESP32-DEVKITC-VE,Part 1,,1,,
U2,,TRS3238ECPWR,Part 1,TI,1,https://www.ti.com/lit/ds/symlink/trs3238e.pdf,SP3238EEA-L/TR
Z1,,FujiNet Logo 25mm W,Part 1,,1,,
Z2,,OSHWA Logo 12x12,Part 1,,1,,
