RefDes;Name;Pattern;X (mm);Y (mm);Side;Rotate;Value
C1;CAP_0402;CAP_0402;20.32;49.674;Top;270;0.1uF
C2;CAP_0402;CAP_0402;21.114;42.719;Top;90;0.1uF
C3;CAP_0402;CAP_0402;21.605;39.053;Top;0;0.1uF
C4;CAP_0402;CAP_0402;21.62;40.337;Top;0;0.1uF
C5;CAP_0402;CAP_0402;17.765;50.959;Top;180;0.1uF
C10;CAP_0402;CAP_0402;8.414;11.762;Top;90;10uF 10V
C11;CAP_0402;CAP_0402;3.651;13.161;Top;270;4.7uF 6.3V
D1;ESD5Z5.0T1G;SOD-523;11.271;13.42;Top;270;
D2;ESD5Z5.0T1G;SOD-523;10.001;13.42;Top;270;
D3;ESD5Z5.0T1G;SOD-523;10.636;8.964;Top;90;
D4;DIODE_0402;DIO_0402;26.194;6.985;Top;90;WIFI_LED_WHITE
D5;DIODE_0402;DIO_0402;3.81;6.985;Top;90;BUS_LED_ORANGE
J1;USB-C 16P;USB-C 16P;14.926;6.21;Top;0;
J2;TF-ARP9Hxx MicroSD;uSD Slim H1.5;8.547;26.222;Bottom;270;
J3;DB9F Edge;DB9 F Edge;14.922;56.261;Top;180;
R1;RES_0402;RES_0402;8.413;4.271;Top;270;5.1K
R2;RES_0402;RES_0402;21.431;4.43;Top;270;5.1K
R3;RES_0402;RES_0402;5.715;6.985;Top;270;10k
R4;RES400;RES_0402;24.13;6.985;Top;90;1k
R5;RES400;RES_0402;2.064;6.985;Top;90;1k
R6;RES_0402;RES_0402;28.099;6.985;Top;270;10K
R10;RES_0402;RES_0402;7.922;39.687;Top;180;10k
R11;RES_0402;RES_0402;7.922;38.417;Top;180;NOSTUFF
R12;RES_0402;RES_0402;7.922;37.147;Top;180;10k
S1;Tact Mom 2x4 SMD;TS-A002 RA 2x4x3.5;3.714;1.824;Top;180;TS-A002
U1;ESP32-S3-WROOM-1;ESP32-S3-WROOM-1;15.789;26.222;Top;270;ESP32-S3-WROOM-1
U2;TRS3238ECPWR;(T)SSOP-28;14.825;44.818;Top;270;
U5;XC6210;SOT23-5;6.03;12.463;Top;90;XC6220B331MR
S2;Tact Mom 2x4 SMD;TS-A002 RA 2x4x3.5;26.131;1.824;Top;180;TS-A002
R7;8x0402 Resistor Array;8x0402 Resistor Array;1.753;26.984;Top;270;YC248-JR-0710KL
Z1;FujiNet Logo 25mm W;FujiNet Logo 25mm W;18.778;29.266;Bottom;270;
Z2;FujiNet Logo 11x3.6;FujiNet Logo 11x3.6;23.325;13.673;Top;0;
R8;RES_0402;RES_0402;19.209;38.274;Top;90;10K
C6;CAP_0402;CAP_0402;21.605;37.782;Top;0;4.7uF 6.3V
S3;Z3 SMT Key;Z3 SMT Key;14.922;45.244;Bottom;90;Hard Reset
