REFDES,VALUE,NAME,JLCPCB PART #,MANUFACTURER,QUANTITY,DATASHEET,NOTE
C1,0.1uF,CAP_0402,C1525,,1,,
C2,0.1uF,CAP_0402,C1525,,1,,
C3,0.1uF,CAP_0402,C1525,,1,,
C4,0.1uF,CAP_0402,C1525,,1,,
C5,0.1uF,CAP_0402,C1525,,1,,
C6,4.7uF 6.3V,CAP_0402,C23733,,1,,
C10,10uF 10V,CAP_0402,C315248,,1,,
C11,4.7uF 6.3V,CAP_0402,C23733,,1,,
D1,,ESD5Z5.0T1G,C2879719,ON Semiconductor,1,https://www.onsemi.com/pub/Collateral/ESD5Z2.5T1-D.PDF,
D2,,ESD5Z5.0T1G,C2879719,ON Semiconductor,1,https://www.onsemi.com/pub/Collateral/ESD5Z2.5T1-D.PDF,
D3,,ESD5Z5.0T1G,C2879719,ON Semiconductor,1,https://www.onsemi.com/pub/Collateral/ESD5Z2.5T1-D.PDF,
D4,WIFI_LED_WHITE,DIODE_0402,C157742,,1,,
D5,BUS_LED_ORANGE,DIODE_0402,C364554,,1,,
J1,,USB-C 16P,C5178539,,1,https://cdn.sparkfun.com/assets/e/b/4/f/7/USB-C_Datasheet.pdf,
J2,,TF-114,C266619,Xunpu,1,https://www.lcsc.com/datasheet/C266619.pdf,
J3,,DB9F Edge (solder cup),,,1,https://www.aliexpress.us/item/3256805726853842.html,
R1,5.1K,RES_0402,C25905,,1,,
R2,5.1K,RES_0402,C25905,,1,,
R3,10k,RES_0402,C25744,,1,,
R4,1k,RES400,C11702,,1,,
R5,1k,RES400,C11702,,1,,
R6,10K,RES_0402,C25744,,1,,
R7,YC248-JR-0710KL,8x0402 Resistor Array,C326649,Yaego,1,https://www.mouser.com/datasheet/2/447/PYu_YC_TC_group_51_RoHS_L_9-3003033.pdf,
R8,10K,RES_0402,C25744,,1,,
R10,10k,RES_0402,C25744,,1,,
R11,NOSTUFF/DO NOT PLACE,RES_0402,,,1,,
R12,10k,RES_0402,C25744,,1,,
S1,TS-A002,Tact Mom 2x4 SMD,C2910650,Yiyuan,1,https://www.lcsc.com/datasheet/lcsc_datasheet_2410122024_YIYUAN-YTS-A002-2_C2910651.pdf,
S2,TS-A002,Tact Mom 2x4 SMD,C2910650,Yiyuan,1,https://www.lcsc.com/datasheet/lcsc_datasheet_2410122024_YIYUAN-YTS-A002-2_C2910651.pdf,
S3,Hard Reset,4mm snap dome optional,,,1,,
U1,ESP32-S3-WROOM-1-N16R8,ESP32-S3-WROOM-1-N16R8,C2913202,Espressif,1,https://www.espressif.com/sites/default/files/documentation/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf,
U2,SP3238EEA-L/TR,SP3238EEA-L/TR,C49669,MaxLinear,1,https://www.lcsc.com/datasheet/C49669.pdf,TI discontinued TRS3238ECPWR (JLCPCB# C2671296)
U3,XC6220B331MR,XC6210,C3040644,Torex,1,https://media.digikey.com/pdf/Data%20Sheets/Torex/XC6220.pdf,
